25  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
25  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
25  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
25  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
25  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
25  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
26  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
26  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
26  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
26  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
26  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
26  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
26  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
26  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
26  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
27  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
27  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
27  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
27  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
27  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
27  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
27  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
27  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
27  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
28  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
28  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
28  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
28  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
28  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
28  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
28  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
28  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
28  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
29  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
29  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
29  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
29  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
29  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
29  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
29  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
29  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
29  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
30  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
30  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
30  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
30  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
30  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
30  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
30  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
30  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
30  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
31  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
31  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
31  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
31  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
31  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
31  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
31  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
31  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
