20 	 7 	 10  	 2  	 34.970051 	 0.100000 	 0 
8 	 1 	 10  	 4  	 30284.468482 	 4.875000 	 2 
8 	 2 	 10  	 1  	 743.990227 	 1.000000 	 0 
8 	 3 	 10  	 1  	 0.000000 	 0.000000 	 0 
8 	 4 	 10  	 1  	 381.117854 	 1.000000 	 0 
8 	 5 	 10  	 4  	 3632.487447 	 1.500000 	 5 
8 	 6 	 10  	 4  	 29656.720630 	 3.125000 	 0 
8 	 7 	 10  	 2  	 356.267074 	 0.375000 	 0 
20 	 1 	 10  	 2  	 20864.099507 	 4.550000 	 5 
20 	 2 	 10  	 2  	 6603.332336 	 2.150000 	 4 
20 	 3 	 10  	 2  	 10111.136395 	 0.400000 	 2 
20 	 4 	 10  	 5  	 405.601413 	 1.050000 	 1 
20 	 5 	 10  	 1  	 166.692122 	 0.200000 	 1 
20 	 6 	 10  	 4  	 46378.561990 	 2.150000 	 4 
20 	 7 	 10  	 5  	 6457.117235 	 0.850000 	 4 
20 	 1 	 10  	 3  	 14039.099251 	 5.100000 	 0 
20 	 2 	 10  	 2  	 1125.048482 	 1.350000 	 3 
20 	 3 	 10  	 2  	 2435.607146 	 1.200000 	 3 
20 	 4 	 10  	 3  	 3444.024385 	 0.500000 	 3 
20 	 5 	 10  	 5  	 5971.783766 	 2.350000 	 2 
20 	 6 	 10  	 2  	 27787.207771 	 1.250000 	 1 
20 	 7 	 10  	 4  	 26852.206414 	 0.300000 	 1 
20 	 1 	 10  	 1  	 183759.818737 	 2.100000 	 1 
20 	 2 	 10  	 2  	 548.551022 	 1.000000 	 1 
20 	 3 	 10  	 1  	 717.518304 	 0.150000 	 1 
20 	 4 	 10  	 5  	 46467.983370 	 1.000000 	 10 
20 	 5 	 10  	 4  	 6412.122216 	 2.000000 	 6 
20 	 6 	 10  	 5  	 39317.182672 	 0.750000 	 5 
20 	 7 	 10  	 3  	 10460.829047 	 0.400000 	 1 
20 	 1 	 10  	 5  	 528815.854431 	 10.150000 	 9 
20 	 2 	 10  	 4  	 690.378829 	 3.850000 	 1 
20 	 3 	 10  	 2  	 24181.933657 	 1.000000 	 2 
20 	 4 	 10  	 5  	 4189.206464 	 3.200000 	 1 
20 	 5 	 10  	 1  	 6005.656495 	 1.100000 	 1 
20 	 6 	 10  	 2  	 20693.310222 	 1.700000 	 1 
20 	 7 	 10  	 5  	 950.643968 	 0.700000 	 1 
20 	 1 	 10  	 5  	 32979.255764 	 9.800000 	 1 
20 	 2 	 10  	 4  	 1936.295521 	 4.250000 	 0 
20 	 3 	 10  	 3  	 24177.854019 	 2.400000 	 5 
20 	 4 	 10  	 5  	 2688.513101 	 3.300000 	 2 
20 	 5 	 10  	 2  	 1548.454077 	 1.050000 	 0 
